variable,description
v2x_corr_ord_codelow,Lower bound of the ordinal scale value - Political corruption index: Tingkat korupsi politik di semua sektor kekuasaan (rata-rata 4 indeks korupsi).
v2x_corr_ord_codehigh,Upper bound of the ordinal scale value - Political corruption index: Tingkat korupsi politik di semua sektor kekuasaan (rata-rata 4 indeks korupsi).
v2x_corr_mean,"Raw expert mean - Political corruption index (D). Straight average of four government sector indices. Formula: (v2x_pubcorr + v2x_execorr + v2lgcrrpt + v2jucorrdc) / 4. (For countries without a legislature, straight average of public, executive, and judicial corruption indices)."
v2x_corr_nr,"Number of coders - Political corruption index (D). Straight average of four government sector indices. Formula: (v2x_pubcorr + v2x_execorr + v2lgcrrpt + v2jucorrdc) / 4. (For countries without a legislature, straight average of public, executive, and judicial corruption indices)."
v2x_execorr,"Index estimate (Point Estimate, Median value) - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2."
v2x_execorr_codelow,Lower bound (HPD Interval 68/70%) - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_codehigh,Upper bound (HPD Interval 68/70%) - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_sd,Standard deviation of the posterior distribution - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_osp,Linearized Original Scale Posterior Prediction - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_osp_codelow,"Lower bound of the original scale prediction (HPD Interval 70%) - Executive corruption index: Korupsi di tingkat kepala negara, menteri, dan eksekutif (suap & penggelapan)."
v2x_execorr_osp_codehigh,"Upper bound of the original scale prediction (HPD Interval 70%) - Executive corruption index: Korupsi di tingkat kepala negara, menteri, dan eksekutif (suap & penggelapan)."
v2x_execorr_ord,Measurement Model Estimates of Original Ordinal Value - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_ord_codelow,"Lower bound of the ordinal scale value - Executive corruption index: Korupsi di tingkat kepala negara, menteri, dan eksekutif (suap & penggelapan)."
v2x_execorr_ord_codehigh,"Upper bound of the ordinal scale value - Executive corruption index: Korupsi di tingkat kepala negara, menteri, dan eksekutif (suap & penggelapan)."
v2x_execorr_mean,Raw expert mean - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_execorr_nr,Number of coders - Executive corruption index (D). Straight average of executive bribery (v2exbribe) and executive embezzlement (v2exembez). Formula: (v2exbribe + v2exembez) / 2.
v2x_pubcorr,"Index estimate (Point Estimate, Median value) - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2."
v2x_pubcorr_codelow,Lower bound (HPD Interval 68/70%) - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_codehigh,Upper bound (HPD Interval 68/70%) - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_sd,Standard deviation of the posterior distribution - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_osp,Linearized Original Scale Posterior Prediction - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Public sector corruption index: Korupsi di kalangan pegawai negeri dan birokrasi (suap & penggelapan).
v2x_pubcorr_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Public sector corruption index: Korupsi di kalangan pegawai negeri dan birokrasi (suap & penggelapan).
v2x_pubcorr_ord,Measurement Model Estimates of Original Ordinal Value - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_ord_codelow,Lower bound of the ordinal scale value - Public sector corruption index: Korupsi di kalangan pegawai negeri dan birokrasi (suap & penggelapan).
v2x_pubcorr_ord_codehigh,Upper bound of the ordinal scale value - Public sector corruption index: Korupsi di kalangan pegawai negeri dan birokrasi (suap & penggelapan).
v2x_pubcorr_mean,Raw expert mean - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2x_pubcorr_nr,Number of coders - Public sector corruption index (D). Straight average of public sector bribery (v2excrptps) and public sector theft (v2exthftps). Formula: (v2excrptps + v2exthftps) / 2.
v2lgcrrpt,Expert point estimate (Measurement Model point estimate on standardized scale) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2lgcrrpt_codelow,Lower bound of the point estimate (HPD Interval 68%) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_sd,Standard deviation of the measurement model output - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi."
v2lgcrrpt_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_ord_codelow,Lower bound of the ordinal scale value - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_ord_codehigh,Upper bound of the ordinal scale value - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi.
v2lgcrrpt_mean,Arithmetic mean of raw expert coder ratings - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2lgcrrpt_nr,Number of expert coders who rated this country-year - Legislative corrupt activities: Penyalahgunaan kekuasaan oleh anggota legislatif untuk keuntungan finansial pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2jucorrdc,Expert point estimate (Measurement Model point estimate on standardized scale) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2jucorrdc_codelow,Lower bound of the point estimate (HPD Interval 68%) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_sd,Standard deviation of the measurement model output - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan."
v2jucorrdc_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_ord_codelow,Lower bound of the ordinal scale value - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_ord_codehigh,Upper bound of the ordinal scale value - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan.
v2jucorrdc_mean,Arithmetic mean of raw expert coder ratings - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2jucorrdc_nr,Number of expert coders who rated this country-year - Judicial corruption decision: Seberapa sering hakim atau pejabat yudisial menerima suap untuk memengaruhi putusan. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2xcl_prpty,Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_codelow,Lower bound (HPD Interval 68/70%) - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_codehigh,Upper bound (HPD Interval 68/70%) - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_sd,Standard deviation of the posterior distribution - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_osp,Linearized Original Scale Posterior Prediction - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Property rights index: Perlindungan hak milik pribadi yang aman dan diakui hukum bagi warga negara.
v2xcl_prpty_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Property rights index: Perlindungan hak milik pribadi yang aman dan diakui hukum bagi warga negara.
v2xcl_prpty_ord,Measurement Model Estimates of Original Ordinal Value - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_ord_codelow,Lower bound of the ordinal scale value - Property rights index: Perlindungan hak milik pribadi yang aman dan diakui hukum bagi warga negara.
v2xcl_prpty_ord_codehigh,Upper bound of the ordinal scale value - Property rights index: Perlindungan hak milik pribadi yang aman dan diakui hukum bagi warga negara.
v2xcl_prpty_mean,Raw expert mean - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2xcl_prpty_nr,Number of coders - Property rights index (D). Straight average de jure and de facto property rights for men (v2clprptym) and women (v2clprptyw). Formula: (v2clprptym + v2clprptyw) / 2.
v2pepwrses,Expert point estimate (Measurement Model point estimate on standardized scale) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrses_codelow,Lower bound of the point estimate (HPD Interval 68%) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_sd,Standard deviation of the measurement model output - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi."
v2pepwrses_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_ord_codelow,Lower bound of the ordinal scale value - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_ord_codehigh,Upper bound of the ordinal scale value - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi.
v2pepwrses_mean,Arithmetic mean of raw expert coder ratings - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2pepwrses_nr,Number of expert coders who rated this country-year - Power distributed by socioeconomic position: Sejauh mana pengaruh politik merata di antara berbagai kelas sosial-ekonomi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exrescon,Expert point estimate (Measurement Model point estimate on standardized scale) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exrescon_codelow,Lower bound of the point estimate (HPD Interval 68%) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_sd,Standard deviation of the measurement model output - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar."
v2exrescon_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_ord_codelow,Lower bound of the ordinal scale value - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_ord_codehigh,Upper bound of the ordinal scale value - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar.
v2exrescon_mean,Arithmetic mean of raw expert coder ratings - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exrescon_nr,Number of expert coders who rated this country-year - Executive respects constitution: Seberapa patuh eksekutif terhadap konstitusi dan undang-undang dasar. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exbribe,Expert point estimate (Measurement Model point estimate on standardized scale) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exbribe_codelow,Lower bound of the point estimate (HPD Interval 68%) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_sd,Standard deviation of the measurement model output - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi."
v2exbribe_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_ord_codelow,Lower bound of the ordinal scale value - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_ord_codehigh,Upper bound of the ordinal scale value - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi.
v2exbribe_mean,Arithmetic mean of raw expert coder ratings - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exbribe_nr,Number of expert coders who rated this country-year - Executive bribery and corrupt exchanges: Frekuensi pejabat eksekutif memberikan kebijakan demi suap/materi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exembez,Expert point estimate (Measurement Model point estimate on standardized scale) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exembez_codelow,Lower bound of the point estimate (HPD Interval 68%) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_sd,Standard deviation of the measurement model output - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi."
v2exembez_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_ord_codelow,Lower bound of the ordinal scale value - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_ord_codehigh,Upper bound of the ordinal scale value - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi.
v2exembez_mean,Arithmetic mean of raw expert coder ratings - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exembez_nr,Number of expert coders who rated this country-year - Executive embezzlement and theft: Frekuensi pejabat eksekutif menggelapkan dana publik demi kepentingan pribadi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2excrptps,Expert point estimate (Measurement Model point estimate on standardized scale) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2excrptps_codelow,Lower bound of the point estimate (HPD Interval 68%) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_sd,Standard deviation of the measurement model output - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik."
v2excrptps_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_ord_codelow,Lower bound of the ordinal scale value - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_ord_codehigh,Upper bound of the ordinal scale value - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik.
v2excrptps_mean,Arithmetic mean of raw expert coder ratings - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2excrptps_nr,Number of expert coders who rated this country-year - Public sector corrupt exchanges: Frekuensi pegawai birokrasi menerima suap untuk memuluskan layanan publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exthftps,Expert point estimate (Measurement Model point estimate on standardized scale) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exthftps_codelow,Lower bound of the point estimate (HPD Interval 68%) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_sd,Standard deviation of the measurement model output - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik."
v2exthftps_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_ord_codelow,Lower bound of the ordinal scale value - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_ord_codehigh,Upper bound of the ordinal scale value - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik.
v2exthftps_mean,Arithmetic mean of raw expert coder ratings - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2exthftps_nr,Number of expert coders who rated this country-year - Public sector theft: Frekuensi pegawai birokrasi mencuri atau menggelapkan dana publik. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacfree,Expert point estimate (Measurement Model point estimate on standardized scale) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacfree_codelow,Lower bound of the point estimate (HPD Interval 68%) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_codehigh,Upper bound of the point estimate (HPD Interval 68%) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_sd,Standard deviation of the measurement model output - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi."
v2clacfree_osp_codelow,Lower bound of the original scale prediction (HPD Interval 70%) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_osp_codehigh,Upper bound of the original scale prediction (HPD Interval 70%) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_ord,Measurement Model Estimates of Original Ordinal Value (integer representing most likely category) - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_ord_codelow,Lower bound of the ordinal scale value - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_ord_codehigh,Upper bound of the ordinal scale value - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi.
v2clacfree_mean,Arithmetic mean of raw expert coder ratings - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2clacfree_nr,Number of expert coders who rated this country-year - Freedom of academic and cultural expression: Kebebasan akademisi dan seniman mengekspresikan pendapat tanpa represi. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model].
v2mecenefm,"Expert point estimate (Measurement Model point estimate on standardized scale) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media. [Cross-Coder Aggregation: Bayesian ordinal item response theory (IRT) measurement model]."
v2mecenefm_codelow,"Lower bound of the point estimate (HPD Interval 68%) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_codehigh,"Upper bound of the point estimate (HPD Interval 68%) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_sd,"Standard deviation of the measurement model output - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
v2mecenefm_osp,"Linearized Original Scale Posterior Prediction (translated back to original scale, e.g. 0-4) - Government censorship effort - Media: Sejauh mana upaya pemerintah untuk menyensor, memblokir, atau membatasi media."
